Division,Fee,Event ID,Event Name,URL,Date,City,State,Park,Teams
7U,60,2402,Memorial Day Classic,https://www.grandslamtournaments.com/baseball/Events/2402/memorial-day-classic,29-May,DENHAM SPRINGS,LA,LIVE OAK SPORTS COMPLEX,0
8U,60,2402,Memorial Day Classic,https://www.grandslamtournaments.com/baseball/Events/2402/memorial-day-classic,30-May,DENHAM SPRINGS,LA,LIVE OAK SPORTS COMPLEX,0
9U,175,2402,Memorial Day Classic,https://www.grandslamtournaments.com/baseball/Events/2402/memorial-day-classic,31-May,DENHAM SPRINGS,LA,LIVE OAK SPORTS COMPLEX,0
10U,175,2402,Memorial Day Classic,https://www.grandslamtournaments.com/baseball/Events/2402/memorial-day-classic,1-Jun,DENHAM SPRINGS,LA,LIVE OAK SPORTS COMPLEX,0
11U,175,2402,Memorial Day Classic,https://www.grandslamtournaments.com/baseball/Events/2402/memorial-day-classic,2-Jun,DENHAM SPRINGS,LA,LIVE OAK SPORTS COMPLEX,0
12U,175,2402,Memorial Day Classic,https://www.grandslamtournaments.com/baseball/Events/2402/memorial-day-classic,3-Jun,DENHAM SPRINGS,LA,LIVE OAK SPORTS COMPLEX,0
13U,175,2402,Memorial Day Classic,https://www.grandslamtournaments.com/baseball/Events/2402/memorial-day-classic,4-Jun,DENHAM SPRINGS,LA,LIVE OAK SPORTS COMPLEX,0
7U,60,2407,West Fel Jammin' in June,https://www.grandslamtournaments.com/baseball/Events/2407/west-fel-jammin-in-june,5-Jun,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
8U,60,2407,West Fel Jammin' in June,https://www.grandslamtournaments.com/baseball/Events/2407/west-fel-jammin-in-june,6-Jun,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
9U,175,2407,West Fel Jammin' in June,https://www.grandslamtournaments.com/baseball/Events/2407/west-fel-jammin-in-june,7-Jun,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
10U,175,2407,West Fel Jammin' in June,https://www.grandslamtournaments.com/baseball/Events/2407/west-fel-jammin-in-june,8-Jun,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
